,Name,Chi2,RedChi2,Variables,Amp1,Amp1-stdev,Amp2,Amp2-stdev,Amp3,Amp3-stdev,Sum Amp
21,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0022,0.005689141980650857,1.4700625272999632e-05,2,0.806772425342664,0.002297866909714245,0.19363799754345384,0.0023000490129503636,0.0,0.00026070121643167907,1.000410422886118
22,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0023,0.008231791069853948,2.1270777958278934e-05,2,0.7491177375950198,0.002765667900835051,0.2517212906553492,0.002767960638547942,0.0,0.00031393148507432683,1.000839028250369
23,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0024,0.004833934823759145,1.2490787658292363e-05,2,0.7168505195767011,0.0021150247394457256,0.2840707079017475,0.002116557899855105,0.0,0.0002404814780748845,1.0009212274784485
24,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0025,0.006463931758299427,1.670266604211738e-05,2,0.6575077390806412,0.0024450540503477293,0.3438149207496797,0.0024449390412879675,0.0,0.00027823155808661483,1.0013226598303209
25,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0026,0.005620954034815422,1.4562057085014047e-05,2,0.6105679028818551,0.002286739418914206,0.38985555752099815,0.0022872218758167627,0.0,0.0002599166496005529,1.0004234604028532
26,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0027,0.007142072756158445,1.8454968362166526e-05,2,0.5232036956584895,0.0025690285596095762,0.47792245662841837,0.002569729335445764,0.0,0.00029217617773491706,1.0011261522869077
27,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0028,0.003786216878818198,9.78350614681705e-06,2,0.4352092209000862,0.0018710274049380264,0.5657982614705135,0.0018726255261451242,0.0,0.0002125953542540205,1.0010074823705997
28,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0029,0.0027938603347719532,7.219277350831921e-06,2,0.3328963169250266,0.0016123442049122683,0.6671026843374575,0.0017318199245641127,9.987375160225298e-07,0.0004685675013379352,1.0
29,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0030,0.0020780367382489747,5.369603974803552e-06,2,0.1820477686499516,0.0013866987198887148,0.8183720078270276,0.0013878673324752217,0.0,0.00015747550377296276,1.000419776476979
30,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0031,1.6964136108707657e-27,4.3834977025084385e-30,2,2.942091015256665e-15,1.985695632927582e-18,0.9999999999999999,3.4274380828581488e-18,0.0,2.5142984177516245e-12,1.0000000000000029
31,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0032,0.010936917343368505,2.8260768329117584e-05,2,5.575595540818767e-12,0.008770180919789917,0.8132618049595597,0.015299250695116975,0.18673819503486477,5.844760614971512,1.0
32,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0033,0.025287000052139123,6.534108540604424e-05,2,5.4647397718099455e-12,0.002081960365418238,0.6179149551675017,0.023210608074407495,0.38208504482703354,0.02321060810804611,1.0
33,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0034,0.4041616356252955,0.0010416537000651946,2,0.0,3.682549378595547e-13,0.8224823312862797,0.09226577494914527,0.17751766871372032,0.0922657750947266,1.0
34,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0035,0.2999115609353232,0.0007749652737346852,2,0.0,3.1799388598462083e-13,0.6253994664607974,0.07966353537501623,0.37460053353920264,0.07966353539294564,1.0
35,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0036,0.1531693761010914,0.0003947664332502356,2,0.0,2.27500141608223e-13,0.42963837683361616,0.05697297885117748,0.5703616231663838,0.056972979048341275,1.0
36,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0037,0.10312077192253043,0.00026646194295227503,2,0.0,1.8633394166538667e-13,0.30765501483434865,0.04669775386575467,0.6923449851656513,0.046697753753757974,1.0
37,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0038,0.00477882925809732,1.2348396015755347e-05,2,6.856999623933158e-05,0.12583722741642284,0.08462586834532959,0.010099495977403776,0.9153055616584311,0.13573623642158245,1.0
38,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0039,0.029767451149442577,7.691847842233224e-05,2,0.0,1.0026821583252519e-13,0.1488278466978804,0.02512335147532364,0.8511721533021196,0.02512335091312367,1.0
39,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0040,0.007902109132404045,2.0418886647038877e-05,2,0.0,5.180818511489965e-14,0.08394266345392554,0.012971287762162035,0.9160573365460745,0.012971288255958517,1.0
40,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0041,0.005564651426814567,1.4378944255334798e-05,2,0.0,4.3439314874929e-14,0.05412515643029436,0.010879267263483282,0.9458748435697056,0.010879267227920087,1.0
41,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0042,0.0035976488580212046,9.29625027912456e-06,2,0.0,3.493070324319609e-14,0.037522606309271955,0.008747448546888298,0.962477393690728,0.008747448603357794,1.0
42,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0043,0.0046622320640985595,1.2047111276740464e-05,2,0.0,3.967088907805018e-14,0.03260539654374561,0.00993656778485164,0.9673946034562544,0.009936567229336524,1.0
43,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0044,0.0028994763079045038,7.492186842130501e-06,2,2.5958679650273098e-12,0.0004749850686318463,0.01620267718706736,0.007872236147838774,0.9837973228103367,0.689347153983212,1.0
44,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0045,0.002541798895849572,6.567955803228869e-06,2,2.9221952635438697e-10,0.004892653050333708,0.011193364792883076,0.007358828630624066,0.9888066349148974,0.007358828673846156,1.0
45,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0046,0.002796477368575708,7.207415898391e-06,2,0.0021092066497173656,0.0039502873570644624,0.011163354261378322,0.00771409332942257,0.9867274390889043,0.003935700748574895,1.0
46,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0047,0.003850869280310372,9.950566615789074e-06,2,0.009785487476399735,0.004622700522115555,0.0,7.039520393881103e-14,0.9902145125236003,0.0046227008864927685,1.0
47,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0048,0.00291647124526535,7.536101408954393e-06,2,0.0060326449568796625,0.004029707721773023,1.4394194586264675e-06,0.001375539129641886,0.9939659156236617,0.005381461252171102,1.0
48,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0049,0.0021056124836767616,5.440859130947704e-06,2,0.005603013963062509,0.003437468024002137,0.0,5.232869909781172e-14,0.9943969860369375,0.0034374689195177423,1.0
49,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050,1.5229802610383545e-30,3.9353495117270145e-33,2,0.0,7.210955735279048e-28,0.0,1.4088054485838184e-27,1.0,7.190298516496859e-28,1.0
