,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
161,29194.3967530016,0.3738459940782499,0.3794472947916527,0.013339991106731387,0.3661073036849213
162,29194.6585387807,0.39240637957627755,0.3990138207601617,0.013993804039539169,0.3850200167206225
163,29194.9726879512,0.41420210256009105,0.417617565770408,0.014443342953654468,0.4031742228167535
164,29195.2344841231,0.43266227954964026,0.44370864912238245,0.014987087839145022,0.4287215612832374
165,29195.4439244621,0.45130025360400056,0.45770104791928257,0.015543548888446706,0.44215749903083584
166,29195.7580906398,0.4831239645896635,0.4841512390947342,0.01615702261027926,0.46799421648445494
167,29196.0199009849,0.5006069878063438,0.5038629677870882,0.01681412508604655,0.4870488427010416
168,29196.2293526626,0.5223696140566646,0.5327656204001524,0.01729908554406778,0.5154665348560846
169,29196.543535849,0.5518895891762592,0.5561924032105665,0.01813168365573259,0.5380607195548339
170,29196.8053603683,0.5823249292537857,0.5841659638346377,0.018706326480526163,0.5654596373541115
171,29197.0671896126,0.6095949647229859,0.6194641053463166,0.019282556171798564,0.600181549174518
172,29197.2766564101,0.6444839634631067,0.6441876755837661,0.020147027180462383,0.6240406484033038
173,29197.5908622768,0.6689999409950268,0.6777626700621096,0.021478365095251545,0.656284304966858
174,29197.8527056969,0.7012360909468519,0.7154059725172907,0.02238617571330446,0.6930197968039862
175,29198.0621838353,0.7362490468812474,0.7355639692397522,0.023039251435050295,0.712524717804702
176,29198.3240357615,0.7696966909462367,0.7627109113443064,0.023925355599097406,0.738785555745209
177,29198.6382643108,0.8014788123241366,0.8039090387776385,0.025585664481866194,0.7783233742957724
178,29198.8477537911,0.8375530586278727,0.8315961968137997,0.026544783188443673,0.805051413625356
179,29199.1096198949,0.870427450942081,0.8661636401023355,0.027651306694638923,0.8385123334076966
180,29199.3714907248,0.9023350433818574,0.8969795746152472,0.02882636105489882,0.8681532135603485
181,29199.633366281,0.9311596537896387,0.9286571758665222,0.03030812750221297,0.8983490483643092
182,29199.8952465635,0.9628502410305978,0.9557842002167461,0.03191697198184548,0.9238672282349006
183,29200.1571315726,0.9954171506995403,0.9810534282719117,0.03347762014502461,0.947575808126887
184,29200.4190213083,1.0206283360750006,1.012601908523717,0.03484972100467823,0.9777521875190388
185,29200.7332952305,1.0487574925767866,1.0425889915783415,0.03718414868172408,1.0054048428966174
186,29200.9428149602,1.0753936572681337,1.0569797393391305,0.03890406050567711,1.0180756788334533
187,29201.2047188766,1.0946006704164526,1.0748887301922248,0.04041302843993195,1.0344757017522928
