,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0031,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
24,29156.6444128228,0.016903031535472398,0.01846479810607173,0.005147349518789527,0.013317448587282203,0.0
25,29156.9055177987,0.01732877335822531,0.01763512272361911,0.00454851560281811,0.013086607120800998,0.0
26,29157.1666274803,0.014733133071912197,0.018405622180149885,0.005505805261869153,0.01289981691828073,0.0
27,29157.4799653097,0.016313362361337586,0.02086012854272727,0.005191656446142997,0.015668472096584275,0.0
28,29157.741085344,0.017065751144652103,0.01852094338787757,0.004745945262877034,0.013774998125000534,0.0
29,29158.0022100843,0.017203410056528166,0.018041215651589802,0.004499567687464797,0.013541647964125004,0.0
30,29158.3155659847,0.016315194741744993,0.020973491606521212,0.005418327001003819,0.015555164605517395,0.0
31,29158.5767010786,0.018769955094826915,0.019833166756241246,0.005242957358202574,0.014590209398038671,0.0
32,29158.8378408789,0.01804961574694809,0.019131199196309984,0.005450402150917251,0.013680797045392731,0.0
33,29159.0989853857,0.020293252814913357,0.018970676089208292,0.004882726734513425,0.014087949354694868,0.0
34,29159.4123650067,0.01955594040255828,0.02092927540062677,0.005555178588841081,0.015374096811785688,0.0
35,29159.6735198683,0.02094818858759461,0.020355212283202997,0.005401171237454381,0.014954041045748614,0.0
36,29159.9346794369,0.0188516680529134,0.021070642214443863,0.005618258791283278,0.015452383423160585,0.0
37,29160.2480771325,0.02082754257144078,0.02252022823840496,0.005499967318898559,0.0170202609195064,0.0
38,29160.5614816065,0.019375282519586885,0.020373982591219267,0.005642172951290329,0.014731809639928936,0.0
39,29160.8226571796,0.019575338067016772,0.021372252596922575,0.005696031732525348,0.01567622086439723,0.0
40,29161.0838374601,0.018974621154193634,0.02337112579877531,0.006153068909518978,0.01721805688925633,0.0
41,29161.3450224483,0.020033576304256895,0.02405118312424246,0.006422883008735566,0.017628300115506895,0.0
42,29161.6584506484,0.021628148043697365,0.02335593720653293,0.006589155369831098,0.01676678183670183,0.0
43,29161.9196459938,0.021487906421369513,0.02379379296621681,0.006216239608936249,0.017577553357280562,0.0
44,29162.2330866228,0.022801049526706564,0.024192052642120446,0.006750966328692704,0.01744108631342774,0.0
45,29162.494292326,0.02247901326929101,0.023677474091266096,0.007094210464403547,0.01658326362686255,0.0
46,29162.7555027376,0.022384373600195052,0.02388214254415369,0.00677230162001808,0.01710984092413561,0.0
47,29163.0167178575,0.023120727723848735,0.02408841640528502,0.006888522940360589,0.01719989346492443,0.0
48,29163.277937686,0.02510851566110225,0.024361904076300154,0.007130925330604693,0.01723097874569546,0.0
49,29163.5914076957,0.02345322912823651,0.024985066022324132,0.007077327498987307,0.017907738523336825,0.0
50,29163.8526378835,0.023552914300778778,0.024411631044032392,0.006792060883096695,0.017619570160935696,0.0
51,29164.1661203246,0.023485277471673952,0.024320077155872075,0.006629884736154024,0.01769019241971805,0.0
52,29164.4273608723,0.024634944031042584,0.02652256243506585,0.007350365913725492,0.01917219652134036,0.0
53,29164.6886061292,0.02243813732193549,0.026841530496946327,0.007819210432366237,0.01902232006458009,0.0
54,29164.9498560955,0.025388883015564943,0.02790014998866198,0.00788783284797033,0.02001231714069165,0.0
55,29165.2111107712,0.02492382556725758,0.027019835485810224,0.00785942663401618,0.019160408851794045,0.0
56,29165.5246225989,0.026366853011971152,0.027147133359365447,0.007858043192391143,0.019289090166974304,0.0
57,29165.785887636,0.02398693681008268,0.028708377542533782,0.008280362871423592,0.02042801467111019,0.0
58,29166.047157383,0.026056146708777934,0.02920068761734141,0.008249288466196028,0.020951399151145383,0.0
59,29166.3084318401,0.025968320918872086,0.029587390502335206,0.008010329996540019,0.02157706050579519,0.0
60,29166.6219674059,0.026976086245747277,0.031498768196335736,0.008627114351812234,0.022871653844523505,0.0
61,29166.8832522255,0.029040298464271423,0.030257384768436486,0.008352566211139613,0.02190481855729687,0.0
62,29167.1445417555,0.027440505457358585,0.029576970630504844,0.008335308115020057,0.021241662515484788,0.0
63,29167.4580954095,0.026955306687714828,0.029738834478400387,0.008535021668890285,0.0212038128095101,0.0
64,29167.7193953029,0.02901702612642554,0.029357226642027577,0.008265799446879446,0.02109142719514813,0.0
65,29167.9806999071,0.030589484655591078,0.031202734705624388,0.008799486140074426,0.02240324856554996,0.0
66,29168.2942716507,0.03054629472186939,0.032994720613380504,0.008684632226603612,0.024310088386776892,0.0
67,29168.5555866193,0.031065526453048536,0.03220827897505703,0.008210850189173587,0.023997428785883443,0.0
68,29168.8169062991,0.02972255784005923,0.032706865281457845,0.009000146741578802,0.023706718539879042,0.0
69,29169.0782306903,0.03153504840493741,0.03341798644686592,0.00967274353107375,0.023745242915792174,0.0
70,29169.391826179,0.03090316886175518,0.03320482571639777,0.009670383451234638,0.02353444226516313,0.0
71,29169.6531609356,0.03275144656500574,0.033666866111493,0.009610319111115184,0.024056547000377813,0.0
72,29169.9145004041,0.031698776623799337,0.03420514851586913,0.009808266466643435,0.024396882049225695,0.0
73,29170.228113986,0.032977899148224486,0.03665363560437503,0.01023037231238203,0.026423263291993,0.0
74,29170.4894638208,0.034354220006595965,0.03708892355251255,0.010442508538377453,0.0266464150141351,0.0
75,29170.7508183678,0.03648832024231235,0.03771210723628676,0.010527858224629844,0.027184249011656923,0.0
76,29171.0644500445,0.035817442771941564,0.03658808298309628,0.010025131604659912,0.026562951378436363,0.0
77,29171.3258149589,0.03780703723206396,0.03859698490897445,0.01028083928764731,0.02831614562132714,0.0
78,29171.5871845857,0.0387204168952794,0.03903487290149314,0.010576522304085595,0.028458350597407547,0.0
79,29171.8485589254,0.03845144967550552,0.0397986085219645,0.010740616040375552,0.029057992481588944,0.0
80,29172.1622143539,0.036735878488707865,0.040107054557952715,0.011063849107246747,0.029043205450705968,0.0
81,29172.423599062,0.0374356710128735,0.041922855628030414,0.011286579334213757,0.030636276293816656,0.0
82,29172.6849884832,0.03736193847526647,0.0432610501227134,0.012142124941388114,0.031118925181325283,0.0
83,29172.9986620101,0.039343063917777775,0.04322333667526825,0.012416892191848862,0.03080644448341939,0.0
84,29173.2600618007,0.03911323356002293,0.0443682440751932,0.012142281002405646,0.03222596307278755,0.0
85,29173.5214663048,0.04138771675874447,0.044838295008231596,0.012244675733552509,0.03259361927467909,0.0
86,29173.8351579317,0.04043226612746066,0.04570844328358182,0.012507098802834182,0.03320134448074764,0.0
87,29174.0965728061,0.04336018538953211,0.045557804526866794,0.012271301098570624,0.03328650342829617,0.0
88,29174.3579923943,0.04487724239866484,0.04580509353062212,0.012001580156375688,0.03380351337424643,0.0
89,29174.6717021229,0.04484809729971963,0.045750472128364646,0.012454398033912566,0.03329607409445208,0.0
90,29174.9331320823,0.043963182521618516,0.04767277367049515,0.012945230990673759,0.03472754267982139,0.0
91,29175.194566756,0.04613082836848636,0.04831041416093676,0.013016726759265091,0.03529368740167167,0.0
92,29175.4560061443,0.047571804310076855,0.0495956175989575,0.013514850733612947,0.03608076686534455,0.0
93,29175.7697396335,0.047718739402598076,0.04868517754572187,0.013692463003174955,0.03499271454254691,0.0
94,29176.031189394,0.047818269720792776,0.05029703193938555,0.014179500028127687,0.03611753191125786,0.0
95,29176.2926438695,0.050885464233618324,0.05211104669047471,0.01454542301648129,0.03756562367399342,0.0
96,29176.6063954639,0.052356673333561095,0.052885200251761605,0.01437623328764773,0.03850896696411387,0.0
97,29176.8678603125,0.050806894499503756,0.053892247179255816,0.014491349640530166,0.03940089753872565,0.0
98,29177.1293298764,0.05256357072824347,0.05445972158961247,0.01494692075387127,0.039512800835741206,0.0
99,29177.4430995776,0.053622050279070146,0.05568978589359373,0.015663529257726485,0.040026256635867244,0.0
100,29177.7045795156,0.055538620683383416,0.05705015898415313,0.015406331171024676,0.041643827813128455,0.0
